name,id,rarity,type,extraTypes,shop,price,staminaCost,minDam,maxDam,cd,accuracy,chance,chance2,shopChance,block,p1,p2,p3,p4,p5,material,canActivate,recipes,gateItem,tags,gain,use,remove,threshold,weight,unique,p6,p7,p8,p9,p10,appropriated,demo,earliestRound,requires,version,animation
Stone,0,Common,Ranged Weapon,Nature,,1,0,2,4,2.5,70,,,,,4:blockremoval,,,,,Stone,,,,Stone,,,Block,8,,,,,,,,,,,,0.1.0,Throw
Wooden Sword,1,Common,Melee Weapon,,,3,1,1,3,1.4,90,,,,,,,,,,Wood,,"Whetstone>Hero Sword,Lump of Coal>Torch,Shiny Shell>Shell Totem,Rainbow Orb>Prismatic Sword",,,,,,,,,,,,,,,,,,0.1.0,Slash
Pan,2,Common,Melee Weapon,,,4,2,4,5,2.2,85,,,,,1,,,,,Metal,,"Heroic Potion>Eggscalibur,Corrupted Crystal>Pandamonium",,,,,,,,,,,,,,,,,,0.1.0,ReverseBonk
Broom,3,Common,Melee Weapon,,,4,1.2,2,4,1.7,95,33,,,,2,,,,,Wood,,"Mana Orb>Magic Staff,Pan>Shovel,Whetstone>Shepherds Crook,Snowball>Snow Stick",,,Blind,,,3,,,,,,,,,,,,0.3.1,Sweep
Wooden Buckler,4,Common,Shield,,,4,,,,,,30,,,,7:damagereduction,0.3,,,,Wood,,"Walrus Tusk>Spiked Shield,Snowball>Frozen Buckler",,,,,,,,,,,,,,,,,,0.1.0,Block
Banana,5,Common,Food,Nature,,3,,,,5,,,,,,4,,,,,Squishy,,,,,,,,,,,,,,,,,,,,0.1.0,
Garlic,6,Common,Food,Nature,,2,,,,4,,30,,,3,1,,,,,Squishy,,,,,,,Vampirism,,,,,,,,,,,,,0.1.0,
Healing Herbs,7,Common,Accessory,Nature,,4,,,,,,,,,,2,,,,,Squishy,,,,,Regeneration,,,6,,,,,,,,,,,,0.1.0,
Walrus Tusk,8,Common,Accessory,Nature,,4,,,,,,,,,,1,,,,,Stone,,,,,Spikes,,,,,,,,,,,,,,,0.1.0,
Piggybank,9,Common,Accessory,,,3,,,,,,,,,,1,2,,,,Stone,,"Lucky Clover+Lucky Clover>Lucky Piggy,Hammer*>Coins",,,,,,,,,,,,,,,,,,0.1.0,
Whetstone,10,Common,Accessory,,,4,,,,,,,,,,1,,,,,Stone,,,,,,,,,,,,,,,,,,,,0.1.0,
Pocket Sand,20,Common,Accessory,Nature,,2,,,,,,,,,,1,,,,,Sand,,,,,Blind,,,6,,,,,,,,,,,,0.1.0,
Lump of Coal,191,Common,Gem,,,2,,,,3,,70,,,8,1,,,,,Stone,,Fire*>Burning Coal,,,"Buff, Debuff",,,,,,,,,,,,,,,0.6.1,
Shiny Shell,275,Common,Accessory,"Holy,Nature",,2,,,,5,,,,,,5:heal,3:holybonus,,,,Jewelry,,Health Potion>Shelly,,,,,,,,,,,,,,,no,,,0.9.12,
Leather Bag,11,Common,Bag,,,4,,,,,,,,,,,,,,,Leather,,,,,,,,,0.4,,,,,,,,,,,0.1.0,
Hammer,12,Rare,Melee Weapon,,,8,3,8,12,2,75,45,,,,0.5,,,,,Metal,,,,,,,,1,,,,,,,,,,,,0.1.0,Bonk
Spear,14,Rare,Melee Weapon,,,6,1,3,8,1.5,85,,,,,4,,,,,Metal,,"Crown>Holy Spear,Flame+Flame>Molten Spear,Pestilence Flask>Poison Spear",,,,,Block,,,,,,,,,,,,,0.1.0,Stab
Dagger,15,Rare,Melee Weapon,,,4,0,2,5,3.5,95,,,,,,,,,,Metal,,"Pestilence Flask>Poison Dagger,Blood Amulet>Bloody Dagger,Mana Orb*>Spectral Dagger,Flame+Flame>Molten Dagger",,,,,,4,,,,,,,,,,,,0.1.0,Stab
Spiked Shield,16,Rare,Shield,,no,8,,,,,,30,,,,7:damagereduction,0.3,1,5:maxspikes,,Wood,,,,,Spikes,,,,,,,,,,,,,,,0.1.0,Block
Leather Armor,17,Rare,Armor,,,7,,,,,,,,,45,3,,,,,Leather,,"Blood Amulet>Vampiric Armor,Forging Hammer*>Dragonscale Armor,Snowball>Ice Armor,Stone Skin Potion>Stone Armor,Goobert*>Holdall",,,,,,2,,,,,,,,,,,,0.1.0,
Gloves of Haste,18,Rare,Gloves,,,4,,,,,,,,,,20,,,,,Leather,,"Blood Amulet>Vampiric Gloves,Walrus Tusk>Claws of Attack,Forging Hammer*>Dragon Claws,Stone Skin Potion>Stone Gloves",,,,,,,,,,,,,,,,,,0.1.0,
Health Potion,19,Rare,Potion,,,4,,,,,,,,,,50,12:heal,4,,,Glass,,"Healing Herbs>Strong Health Potion,Blueberries>Mana Potion",,,,,Poison,5,,,,,,,,,,,,0.1.0,
Blueberries,22,Rare,Food,"Nature,Magic",,2,,,,3.5,,,,,,1,10,1,,,Squishy,,,,,"Mana,Lucky",,,,,,,,,,,,,,,0.3.1,
Goobert,23,Rare,Pet,,,6,,,,,,,,,,5,9:heal,,,,Slime,,"Fly Agaric+Fly Agaric>Poison Goobert,Lightsaber>Light Goobert,Hero Sword>Steel Goobert,Blood Amulet>Blood Goobert,Carrot+Carrot>Carrot Goobert,Chili Pepper>Chili Goobert,Cheese>Cheese Goobert,King Crown>King Goobert,Cupcake>Cupcake Goobert",,,,,,,,,,,,,,,,,,0.3.0,Squish
Bag of Stones,13,Rare,Accessory,,,3,,,,,,,,,,,,,,,Leather,no,,,,,,,4,,,,,,,,,,,,0.1.0,
Customer Card,25,Rare,Accessory,,,4,,,,,,,,,,,,,,,Paper,no,Customer Card>Platin Customer Card,,,,,,,,,,,,,,,,,,0.1.0,
Amulet Unidentified,263,Rare,Accessory,,,6,,,,,,,,,,,,,,,Jewelry,,,,,,,,,,,,,,,,,no,,,0.9.12,
Amulet of Life,264,Rare,Accessory,,no,6,,,,,,,,,,20:maxhealth,20:healamp,,,,Jewelry,,,Amulet Unidentified,,,,,,,,,,,,,,no,,,0.9.12,
Amulet of Steel,265,Rare,Accessory,,no,6,,,,,,,,,25,35:blockt,1:empower,,,,Jewelry,,,Amulet Unidentified,,Empower,,,,,,,,,,,,no,,,0.9.12,
Amulet of Feasting,266,Rare,Accessory,,no,6,,,,,,,,,,40:foodspeed,,,,,Jewelry,no,,Amulet Unidentified,,,,,,,,,,,,,,no,,,0.9.12,
Amulet of Darkness,267,Rare,Accessory,Dark,no,6,,7,7,,,30,,,,22:damt,,,,,Jewelry,,,Amulet Unidentified,,Debuff,,,,,,,,,,,,no,,,0.9.24,
Amulet of Agility,268,Rare,Accessory,,no,6,,,,,,,,,,100:speed,1:dur,25:refund,,,Jewelry,,,Amulet Unidentified,,Buff,,,,,,,,,,,,no,,,0.9.12,
Amulet of the Wild,269,Rare,Accessory,Nature,no,6,,,,5,,,,,,4:spikes,50:spikedam,,,,Jewelry,,,Amulet Unidentified,,Spikes,,,,,,,,,,,,no,,,0.9.12,
